"mz","mzmin","mzmax","rt","rtmin","rtmax","into","intb","maxo","sn","sample","isotopes","adduct","pcgroup"
1308.3016893737,1308.29443359375,1308.30187988281,115.5830028,111.0730002,121.4480064,38951.0744131364,38397.6621506045,12764.5,100,1,"","","1"
1308.30211757103,1308.30187988281,1308.31665039062,115.5830028,111.9409992,121.4480064,38182.517667,37683.16211382,12764.5,108,1,"[4][M+3]+","","1"
1309.30360129333,1309.2939453125,1309.30871582031,115.5830028,111.0730002,121.4480064,16340.634765,15888.6146085136,6096,64,1,"[4][M+4]+","","1"
1310.30677861002,1310.30114746094,1310.30859375,115.5830028,113.7180018,117.9210018,2375.9559,2348.45627142857,1027.5,46,1,"[4][M+5]+","","1"
1332.3203599708,1332.31225585938,1332.3271484375,115.5830028,111.0730002,117.9210018,2979.3086961,2950.32697504286,1432.5,108,1,"[26][M]+","","1"
1333.32175421403,1333.31335449219,1333.32824707031,116.6659998,111.0730002,121.4480064,5193.16219429091,5106.38941516364,1549.5,52,1,"[26][M+1]+","","1"
1334.30961390904,1334.30737304688,1334.31481933594,115.5830028,112.8149988,120.4030038,1712.043628125,1687.04386165178,544.5,29,1,"","","1"
1334.33718442684,1334.32983398438,1334.3447265625,115.5830028,112.8149988,121.4480064,2300.6965254,2261.60818543333,1011,52,1,"","","1"
1448.39438136289,1448.37133789062,1448.39465332031,115.5830028,111.0730002,121.4480064,92412.0665881637,91997.9421523753,30550,418,1,"[3][M]2+","","1"
1448.74344723166,1448.73742675781,1448.75305175781,115.5830028,112.8149988,121.4480064,5521.28797173332,5460.58285479999,2021.5,69,1,"[47][M]2+","","1"
1448.89637025211,1448.88537597656,1448.90100097656,115.5830028,111.0730002,121.4480064,37059.5221464,36934.7862764045,11893,225,1,"[3][M+1]2+","","1"
1449.07701544794,1449.07238769531,1449.087890625,115.5830028,112.8149988,121.4480064,13881.8762208,13732.3573252833,4350,46,1,"[47][M+1]2+","","1"
1449.39953613281,1449.39953613281,1449.39953613281,115.5830028,113.7180018,117.9210018,208867.6647,208782.09162,80675,1039,1,"[3][M+2]2+","","1"
1449.63768147164,1449.63330078125,1449.64892578125,115.5830028,113.7180018,121.4480064,18761.2042894875,18625.2045210563,5713.5,77,1,"[40][M]2+","","1"
1449.89819335938,1449.89819335938,1449.89819335938,115.5830028,111.0730002,117.9210018,98221.3149489,98200.6792297929,36180.5,2567,1,"[3][M+3]2+","","1"
1450.06971927196,1450.06970214844,1450.06974795017,115.5830028,112.8149988,121.4480064,44302.1969455333,44216.7918346333,17142.5,270,1,"[27][M]+","","1"
1450.13439878342,1450.13195800781,1450.13977050781,115.5830028,112.8149988,121.4480064,28600.6745672666,28489.7644001833,9192,165,1,"[40][M+1]2+","","1"
1450.39697818418,1450.39697265625,1450.40478515625,115.5830028,111.0730002,117.9210018,280310.9614932,280029.459713143,102026,1295,1,"[3][M+4]2+","","1"
1450.65157471215,1450.63854980469,1450.66198730469,115.5830028,112.8149988,121.4480064,17553.3025084666,17452.3442807,5840.5,82,1,"","","1"
